"질문","답변"
"2025-2학기 등록과 2024학년도 후기 학위수여식의 날짜 차이는?","2025-2학기 등록은 2025-08-22부터 2025-08-26까지, 2024학년도 후기 학위수여식은 2025-08-22에 진행됩니다. 두 이벤트는 같은 날(2025-08-22)에 시작합니다."
"2025-2학기 개강과 2025-2학기 수강신청 정정 및 취소의 기간 길이를 비교해줘.","2025-2학기 개강은 2025-09-01에 1일간이고, 2025-2학기 수강신청 정정 및 취소는 2025-09-01부터 2025-09-07까지 7일간입니다. 수강신청 정정 및 취소가 개강보다 6일 더 깁니다."
"2025-2학기 중간강의평가와 2025-2학기 기말강의평가의 기간 길이를 비교해줘.","2025-2학기 중간강의평가는 2025-10-10부터 2025-10-31까지 22일간이고, 2025-2학기 기말강의평가는 2025-12-01부터 2026-01-03까지 34일간입니다. 기말강의평가가 중간강의평가보다 12일 더 깁니다."
"2025-2학기 중간고사와 2025-2학기 기말고사의 기간 길이를 비교해줘.","2025-2학기 중간고사는 2025-10-20부터 2025-10-26까지 7일간이고, 2025-2학기 기말고사는 2025-12-08부터 2025-12-14까지 7일간입니다. 두 시험의 기간 길이는 동일합니다."
"2025-동계방학과 2025-동계 계절수업의 시작일 차이는?","2025-동계방학과 2025-동계 계절수업은 모두 2025-12-22에 시작합니다. 시작일 차이는 없습니다."
"2025-2학기 성적확정과 2025학년도 전기 학위수여식(서울·천안)의 날짜 차이는?","2025-2학기 성적확정은 2026-01-08에, 2025학년도 전기 학위수여식(서울·천안)은 2026-02-24에 진행됩니다. 학위수여식이 성적확정보다 47일 뒤입니다."
"2026학년도 입학식(천안)과 2026학년도 입학식(서울)의 날짜 차이는?","2026학년도 입학식(천안)은 2026-02-25에, 2026학년도 입학식(서울)은 2026-02-26에 열립니다. 서울 입학식이 천안보다 1일 뒤입니다."
"2025-1학기 장바구니 수강신청 1차(재학생)와 2025-1학기 교차수강신청(서울↔천안)의 종료일 차이는?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025-02-03에 끝나고, 2025-1학기 교차수강신청(서울↔천안)은 2025-02-12에 끝납니다. 교차수강신청이 장바구니 수강신청보다 9일 뒤에 끝납니다."
"2025-1학기 수강신청(재학생 1차)와 2025-1학기 수강신청(신·편입생)의 기간 길이를 비교해줘.","2025-1학기 수강신청(재학생 1차)은 2025-02-05부터 2025-02-07까지 3일간이고, 2025-1학기 수강신청(신·편입생)은 2025-02-18부터 2025-02-20까지 3일간입니다. 두 기간의 길이는 동일합니다."
"2025-1학기 장바구니 수강신청 2차(재학생)와 2025-1학기 등록의 시작일 차이는?","2025-1학기 장바구니 수강신청 2차(재학생)은 2025-02-14에, 2025-1학기 등록은 2025-02-19에 시작합니다. 등록이 장바구니 수강신청 2차보다 5일 뒤입니다."
"2025-1학기 수강신청(재학생 2차)와 2024학년도 전기 학위수여식(서울·천안)의 날짜 차이는?","2025-1학기 수강신청(재학생 2차)은 2025-02-20에, 2024학년도 전기 학위수여식(서울·천안)은 2025-02-25에 진행됩니다. 학위수여식이 수강신청 2차보다 5일 뒤입니다."
"2025학년도 입학식(천안)와 2025-1학기 폐강 공고의 날짜 차이는?","2025학년도 입학식(천안)은 2025-02-26에, 2025-1학기 폐강 공고는 2025-02-28에 진행됩니다. 폐강 공고가 입학식보다 2일 뒤입니다."
"2025학년도 입학식(서울)와 2025-1학기 개강의 시작일 차이는?","2025학년도 입학식(서울)은 2025-02-27에, 2025-1학기 개강은 2025-03-04에 시작합니다. 개강이 입학식보다 5일 뒤입니다."
"2025-1학기 수강신청 정정 및 취소와 2025-1학기 수강포기의 기간 길이를 비교해줘.","2025-1학기 수강신청 정정 및 취소는 2025-03-04부터 2025-03-10까지 7일간이고, 2025-1학기 수강포기는 2025-03-18부터 2025-03-20까지 3일간입니다. 수강신청 정정 및 취소가 수강포기보다 4일 더 깁니다."
"2025-1학기 중간강의평가와 2025-1학기 기말강의평가의 시작일 차이는?","2025-1학기 중간강의평가는 2025-04-07에, 2025-1학기 기말강의평가는 2025-06-02에 시작합니다. 기말강의평가가 중간강의평가보다 56일 뒤입니다."
"2025-1학기 중간고사와 2025-1학기 기말고사의 종료일 차이는?","2025-1학기 중간고사는 2025-04-28에 끝나고, 2025-1학기 기말고사는 2025-06-16에 끝납니다. 기말고사가 중간고사보다 49일 뒤에 끝납니다."
"2025-1학기 성적입력과 2025-1학기 이의신청의 기간 길이를 비교해줘.","2025-1학기 성적입력은 2025-06-09부터 2025-06-29까지 21일간이고, 2025-1학기 이의신청은 2025-07-01부터 2025-07-03까지 3일간입니다. 성적입력이 이의신청보다 18일 더 깁니다."
"2025-1학기 성적정정과 2025-1학기 성적확인의 기간 길이를 비교해줘.","2025-1학기 성적정정은 2025-07-01부터 2025-07-04까지 4일간이고, 2025-1학기 성적확인은 2025-07-01부터 2025-07-05까지 5일간입니다. 성적확인이 성적정정보다 1일 더 깁니다."
"2025-하계 계절수업과 2025-하계 계절수업 성적입력 기간의 시작일 차이는?","2025-하계 계절수업은 2025-06-24에, 2025-하계 계절수업 성적입력 기간은 2025-07-09에 시작합니다. 성적입력 기간이 계절수업보다 15일 뒤입니다."
"2025-1학기 성적확정과 2025-2학기 대상 학적 변동 기간의 날짜 차이는?","2025-1학기 성적확정은 2025-07-10에, 2025-2학기 대상 학적 변동 기간은 2025-07-14부터 2025-07-18까지입니다. 학적 변동 기간이 성적확정보다 4일 뒤에 시작합니다."
"2025-하계 계절수업 성적 확인, 이의신청 및 정정 기간과 2025-하계 계절수업 성적 확정의 날짜 차이는?","2025-하계 계절수업 성적 확인, 이의신청 및 정정 기간은 2025-07-15부터 2025-07-16까지, 2025-하계 계절수업 성적 확정은 2025-07-17에 진행됩니다. 성적 확정이 성적 확인 기간보다 1일 뒤에 시작합니다."
"2025-2학기 수강신청(재학생 1차)와 2025-2학기 교차수강신청(서울↔천안)의 기간 길이를 비교해줘.","2025-2학기 수강신청(재학생 1차)은 2025-07-23부터 2025-07-25까지 3일간이고, 2025-2학기 교차수강신청(서울↔천안)은 2025-08-05부터 2025-08-06까지 2일간입니다. 수강신청 1차가 교차수강신청보다 1일 더 깁니다."
"2025-2학기 수강신청(재학생 2차)와 2024학년도 후기 학위수여식의 날짜 차이는?","2025-2학기 수강신청(재학생 2차)은 2025-08-21에, 2024학년도 후기 학위수여식은 2025-08-22에 진행됩니다. 학위수여식이 수강신청 2차보다 1일 뒤입니다."
"2025-2학기 등록과 2025-2학기 개강의 시작일 차이는?","2025-2학기 등록은 2025-08-22에, 2025-2학기 개강은 2025-09-01에 시작합니다. 개강이 등록보다 10일 뒤입니다."
"2025-2학기 수강신청 정정 및 취소와 2025-2학기 수강포기의 종료일 차이는?","2025-2학기 수강신청 정정 및 취소는 2025-09-07에 끝나고, 2025-2학기 수강포기는 2025-09-19에 끝납니다. 수강포기가 수강신청 정정 및 취소보다 12일 뒤에 끝납니다."
"2025-2학기 중간고사와 2025-2학기 중간강의평가의 기간 길이를 비교해줘.","2025-2학기 중간고사는 2025-10-20부터 2025-10-26까지 7일간이고, 2025-2학기 중간강의평가는 2025-10-10부터 2025-10-31까지 22일간입니다. 중간강의평가가 중간고사보다 15일 더 깁니다."
"2025-2학기 기말고사와 2025-2학기 자율보강(기말고사)주간의 시작일 차이는?","2025-2학기 기말고사는 2025-12-08에, 2025-2학기 자율보강(기말고사)주간은 2025-12-15에 시작합니다. 자율보강 주간이 기말고사보다 7일 뒤입니다."
"2025-2학기 성적입력과 2025-2학기 이의신청의 기간 길이를 비교해줘.","2025-2학기 성적입력은 2025-12-09부터 2025-12-28까지 20일간이고, 2025-2학기 이의신청은 2025-12-30부터 2026-01-01까지 3일간입니다. 성적입력이 이의신청보다 17일 더 깁니다."
"2025-동계 계절수업과 2025-2학기 성적확정의 날짜 차이는?","2025-동계 계절수업은 2025-12-22부터 2026-01-08까지, 2025-2학기 성적확정은 2026-01-08에 진행됩니다. 성적확정이 동계 계절수업 종료일과 같은 날입니다."
"2025학년도 전기 학위수여식(서울·천안)와 2026학년도 입학식(천안)의 날짜 차이는?","2025학년도 전기 학위수여식(서울·천안)은 2026-02-24에, 2026학년도 입학식(천안)은 2026-02-25에 진행됩니다. 입학식이 학위수여식보다 1일 뒤입니다."
"2025-1학기 장바구니 수강신청 1차(재학생)와 2024학년도 전기 학위수여식(서울·천안)의 날짜 차이는?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025-01-31부터 2025-02-03까지, 2024학년도 전기 학위수여식(서울·천안)은 2025-02-25에 진행됩니다. 학위수여식이 장바구니 수강신청 1차보다 22일 뒤입니다."
"2025-1학기 수강신청(재학생 1차)와 2025학년도 입학식(서울)의 날짜 차이는?","2025-1학기 수강신청(재학생 1차)은 2025-02-05부터 2025-02-07까지, 2025학년도 입학식(서울)은 2025-02-27에 진행됩니다. 입학식이 수강신청 1차보다 20일 뒤입니다."
"2025-1학기 교차수강신청(서울↔천안)와 2025-1학기 폐강 공고의 기간 길이를 비교해줘.","2025-1학기 교차수강신청(서울↔천안)은 2025-02-11부터 2025-02-12까지 2일간이고, 2025-1학기 폐강 공고는 2025-02-28에 1일간입니다. 교차수강신청이 폐강 공고보다 1일 더 깁니다."
"2025-1학기 장바구니 수강신청 2차(재학생)와 2025-1학기 개강의 날짜 차이는?","2025-1학기 장바구니 수강신청 2차(재학생)은 2025-02-14에, 2025-1학기 개강은 2025-03-04에 진행됩니다. 개강이 장바구니 수강신청 2차보다 18일 뒤입니다."
"2025-1학기 수강신청(신·편입생)와 2025-1학기 수강신청 정정 및 취소의 종료일 차이는?","2025-1학기 수강신청(신·편입생)은 2025-02-20에 끝나고, 2025-1학기 수강신청 정정 및 취소는 2025-03-10에 끝납니다. 수강신청 정정 및 취소가 수강신청보다 18일 뒤에 끝납니다."
"2025-1학기 등록과 2025-1학기 수강포기의 기간 길이를 비교해줘.","2025-1학기 등록은 2025-02-19부터 2025-02-24까지 6일간이고, 2025-1학기 수강포기는 2025-03-18부터 2025-03-20까지 3일간입니다. 등록이 수강포기보다 3일 더 깁니다."
"2025-1학기 수강신청(재학생 2차)와 2025-1학기 중간강의평가의 시작일 차이는?","2025-1학기 수강신청(재학생 2차)은 2025-02-20에, 2025-1학기 중간강의평가는 2025-04-07에 시작합니다. 중간강의평가가 수강신청 2차보다 46일 뒤입니다."
"2024학년도 전기 학위수여식(서울·천안)와 2025-1학기 중간고사의 날짜 차이는?","2024학년도 전기 학위수여식(서울·천안)은 2025-02-25에, 2025-1학기 중간고사는 2025-04-22부터 2025-04-28까지입니다. 중간고사가 학위수여식보다 56일 뒤에 시작합니다."
"2025학년도 입학식(천안)와 2025-1학기 기말강의평가의 기간 길이를 비교해줘.","2025학년도 입학식(천안)은 2025-02-26에 1일간이고, 2025-1학기 기말강의평가는 2025-06-02부터 2025-07-05까지 34일간입니다. 기말강의평가가 입학식보다 33일 더 깁니다."
"2025학년도 입학식(서울)와 2025-1학기 성적입력의 날짜 차이는?","2025학년도 입학식(서울)은 2025-02-27에, 2025-1학기 성적입력은 2025-06-09부터 2025-06-29까지입니다. 성적입력이 입학식보다 102일 뒤에 시작합니다."
"2025-1학기 폐강 공고와 2025-1학기 기말고사의 날짜 차이는?","2025-1학기 폐강 공고는 2025-02-28에, 2025-1학기 기말고사는 2025-06-10부터 2025-06-16까지입니다. 기말고사가 폐강 공고보다 102일 뒤에 시작합니다."
"2025-1학기 개강과 2025-1학기 자율보강(기말고사)주간의 기간 길이를 비교해줘.","2025-1학기 개강은 2025-03-04에 1일간이고, 2025-1학기 자율보강(기말고사)주간은 2025-06-17부터 2025-06-23까지 7일간입니다. 자율보강 주간이 개강보다 6일 더 깁니다."
"2025-1학기 수강신청 정정 및 취소와 2025-하계방학 시작의 날짜 차이는?","2025-1학기 수강신청 정정 및 취소는 2025-03-04부터 2025-03-10까지, 2025-하계방학 시작은 2025-06-24에 진행됩니다. 하계방학이 수강신청 정정 및 취소보다 106일 뒤입니다."
"2025-1학기 수강포기와 2025-하계 계절수업의 시작일 차이는?","2025-1학기 수강포기는 2025-03-18부터 2025-03-20까지, 2025-하계 계절수업은 2025-06-24에 시작합니다. 하계 계절수업이 수강포기보다 96일 뒤입니다."
"2025-1학기 중간강의평가와 2025-1학기 이의신청의 종료일 차이는?","2025-1학기 중간강의평가는 2025-04-30에 끝나고, 2025-1학기 이의신청은 2025-07-03에 끝납니다. 이의신청이 중간강의평가보다 64일 뒤에 끝납니다."
"2025-1학기 중간고사와 2025-1학기 성적정정의 날짜 차이는?","2025-1학기 중간고사는 2025-04-22부터 2025-04-28까지, 2025-1학기 성적정정은 2025-07-01부터 2025-07-04까지입니다. 성적정정이 중간고사보다 64일 뒤에 시작합니다."
"2025-1학기 기말강의평가와 2025-1학기 성적확인의 기간 길이를 비교해줘.","2025-1학기 기말강의평가는 2025-06-02부터 2025-07-05까지 34일간이고, 2025-1학기 성적확인은 2025-07-01부터 2025-07-05까지 5일간입니다. 기말강의평가가 성적확인보다 29일 더 깁니다."
"2025-1학기 성적입력과 2025-하계 계절수업 성적입력 기간의 시작일 차이는?","2025-1학기 성적입력은 2025-06-09에, 2025-하계 계절수업 성적입력 기간은 2025-07-09에 시작합니다. 하계 계절수업 성적입력이 1학기 성적입력보다 30일 뒤입니다."
